date,state,organization,no_of_phase_one_awards,total_phase_one_obligation,no_of_phase_two_awards,total_phase_two_obligation,total_awards,total_obligation
2010,AL,Department of Agriculture,1,90000,0,0,1,90000
2010,AR,Department of Agriculture,3,270000,2,790861,5,1060861
2010,CA,Department of Agriculture,11,969742,1,372240,12,1341982
2010,CO,Department of Agriculture,4,330440,3,1199998,7,1530438
2010,CT,Department of Agriculture,0,0,1,181646,1,181646
2010,DE,Department of Agriculture,1,90000,1,400000,2,490000
2010,FL,Department of Agriculture,2,169310,1,399733,3,569043
2010,GA,Department of Agriculture,1,90000,0,0,1,90000
2010,HI,Department of Agriculture,3,270000,3,1199974,6,1469974
2010,IA,Department of Agriculture,1,79700,2,800000,3,879700
2010,ID,Department of Agriculture,1,73598,0,0,1,73598
2010,IL,Department of Agriculture,3,261067,1,400000,4,661067
2010,IN,Department of Agriculture,1,90000,1,398341,2,488341
2010,KS,Department of Agriculture,3,269688,1,356550,4,626238
2010,LA,Department of Agriculture,1,89180,0,0,1,89180
2010,MA,Department of Agriculture,3,259540,2,799498,5,1059038
2010,MD,Department of Agriculture,1,90000,1,395850,2,485850
2010,ME,Department of Agriculture,1,89952,2,799974,3,889926
2010,MI,Department of Agriculture,6,517617,1,398972,7,916589
2010,MN,Department of Agriculture,0,0,1,398739,1,398739
2010,MO,Department of Agriculture,1,90000,1,400000,2,490000
2010,MS,Department of Agriculture,1,90000,0,0,1,90000
2010,MT,Department of Agriculture,2,180000,2,791369,4,971369
2010,NC,Department of Agriculture,1,79966,1,400000,2,479966
2010,NJ,Department of Agriculture,3,268841,0,0,3,268841
2010,NM,Department of Agriculture,0,0,1,400000,1,400000
2010,NY,Department of Agriculture,6,529521,2,800000,8,1329521
2010,OH,Department of Agriculture,1,89854,1,400000,2,489854
2010,OR,Department of Agriculture,2,173240,0,0,2,173240
2010,PA,Department of Agriculture,1,90000,1,392225,2,482225
2010,SC,Department of Agriculture,1,89958,0,0,1,89958
2010,SD,Department of Agriculture,2,179600,0,0,2,179600
2010,TN,Department of Agriculture,1,89890,0,0,1,89890
